[00:00.000 --> 00:12.000]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does
[00:12.000 --> 00:40.000]  he. He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:40.000 --> 00:47.000]  Okay, ladies and gentlemen, another insane transmission lined up for you today. We have
[00:47.000 --> 00:55.000]  the incredible solar flares, the most powerful recorded in a decade, they're saying. Not
[00:55.000 --> 01:02.000]  just triggering power outages and cell phone drops and satellite problems, but also did
[01:02.000 --> 01:11.000]  you notice they're reporting record rainstorms all over the world? And for three days, it's
[01:11.000 --> 01:13.000]  gonna be hitting the planet Earth.
[01:13.000 --> 01:19.000]  That's how long this ejection of different types of particles and radiation is. But notice
[01:19.000 --> 01:26.000]  on the side always facing the sun as the Earth spins into the ejection, you're just seeing
[01:26.000 --> 01:35.000]  the satellite images from space of huge thunderstorms forming everywhere it hits. Giant thunderstorms
[01:35.000 --> 01:41.000]  all over Africa, all over the United States, all over Europe.
[01:41.000 --> 01:49.000]  But the UN said two years ago at Copenhagen, the sun does not affect climate. Doesn't matter
[01:49.000 --> 01:57.000]  that they literally have thousands of atmospheric studies and studies from space showing that
[01:57.000 --> 02:04.000]  most of our weather is driven by the sun's heat, obviously. And the sun gets hotter,
[02:04.000 --> 02:10.000]  gets colder, it fluctuates in cycles, duh, the sun heats the Earth.
[02:10.000 --> 02:16.000]  We didn't have the sun, we'd be absolute zero. Did you know that? In fact, they report that
[02:16.000 --> 02:24.000]  within a matter of hours, the surface of the Earth would cool off to absolute zero without
[02:24.000 --> 02:30.000]  the old sun. And that even those underground in a matter of days will be frozen solid.
[02:30.000 --> 02:35.000]  I guess you'd have to have powerful nuclear reactors just to try to keep a small area
[02:35.000 --> 02:44.000]  warm. But the UN says the sun does not affect the Earth's climate. Yes, and the moon doesn't
[02:44.000 --> 02:51.000]  either. It causes a lensing effect, kind of a gauging effect, it's not the proper word,
[02:51.000 --> 02:58.000]  a governing effect, levering it back and forth when the moon is in between the Earth and
[02:58.000 --> 03:00.000]  the sun especially.
[03:00.000 --> 03:05.000]  It blocks a lot of that radiation. And when it's not in between the Earth and the sun,
[03:05.000 --> 03:10.000]  obviously, does the opposite. And then of course, controls the tides that manipulates
[03:10.000 --> 03:16.000]  a lot of the atmospheric interchanges. But the UN says that it has no effect because
[03:16.000 --> 03:21.000]  they are all powerful. And it's gotta be humans and carbon dioxide that plants breathe.
[03:21.000 --> 03:27.000]  And we've gotta tax that, we gotta shut that down. But it's been confirmed, again, in so
[03:27.000 --> 03:31.000]  many studies, it'll make your head spin, that the different types of ions coming into the
[03:31.000 --> 03:39.000]  atmosphere from the sun then form nuclei that water vapor attaches to.
[03:39.000 --> 03:45.500]  And so when you've got all this different types of wavelengths and particles coming
[03:45.500 --> 03:50.500]  in, that's what's forming the thunderstorms. And thank God for it, we've been in a horrible
[03:50.500 --> 03:56.160]  drought here in Texas. But I guess the sun got in the way of the water manipulation under
[03:56.160 --> 04:01.760]  globalist chem trailing and terraforming and geoengineering, the White House admits they're
[04:01.760 --> 04:04.000]  engaged in, but the details remain classified.
