[00:00.000 --> 00:27.200]  Welcome to the Alex Jones Show on this Sunday, June 7th, 2015.
[00:27.200 --> 00:32.200]  I'm David Knight. I'll be your host here in the studio. Alex Jones is going to be co-hosting with us today.
[00:32.200 --> 00:38.200]  He's going to be joining us in the next segment to break down something that we just found out about.
[00:38.200 --> 00:40.200]  Of course, we see all these international agreements that are being made.
[00:40.200 --> 00:47.200]  One of these international agreements that is coming not from the trade treaties, but it's actually coming from the State Department.
[00:47.200 --> 00:54.200]  See, we have all these bureaucracies that are writing rules and regulations that have the effect of law.
[00:54.200 --> 00:58.200]  They've already bypassed our elected representatives in so many areas.
[00:58.200 --> 01:07.200]  It's hardly even a surprise that we've got now sovereignty changing massive agreements that aren't just about trade and they certainly aren't about free trade.
[01:07.200 --> 01:10.200]  They're about a crony capitalism kind of trade.
[01:10.200 --> 01:17.200]  This is what we saw with the banker bailouts. This is the kind of quote unquote free trade that we're getting with these trade agreements.
[01:17.200 --> 01:23.200]  But we see these regulations coming in from various bureaucracies all of the time, writing their own laws.
[01:23.200 --> 01:32.200]  Congress creates these organizations like the EPA, like the IRS, like the ATF, all these different organizations that then go off and write their rules.
[01:32.200 --> 01:40.200]  The FCC coming out and taking over the Internet, for example, just claiming that they have control over it and they're now going to rewrite the rules.
[01:40.200 --> 01:48.200]  So they're going to exert control. It wasn't even given to them by Congress. They just claim it, name it and claim it, and then they start writing rules for it.
[01:48.200 --> 01:56.200]  So now we've got the State Department who's coming out and saying that they're going to have regulations that are going to govern international arms trade.
[01:56.200 --> 02:02.200]  That sounds familiar, doesn't it? Remember the UN arms trade treaty that they tried so many times to get through?
[02:02.200 --> 02:10.200]  They actually called it a treaty. Maybe that's why they couldn't get it through. They made the mistake of not calling it an agreement or a partnership.
[02:10.200 --> 02:22.200]  Now we're going to talk about why these trade agreements are really treaties. And of course, I'm very happy to see now Rand Paul and Senator Jeff Sessions always get him confused with Pete Sessions.
[02:22.200 --> 02:31.200]  Pete Sessions is on the wrong side of this, folks. He's a congressman and he is pushing for a fast-tracked agreement for trade treaties that he has not read.
[02:31.200 --> 02:43.200]  Pete Sessions, Senator Sessions, is a hero on this. He's gone to actually read this, as has Rand Paul, and they're both speaking out on this saying that this is not a trade agreement.
[02:43.200 --> 02:50.200]  This is in fact a treaty. This whole thing is treachery, quite frankly.
[02:50.200 --> 02:57.200]  It is treachery to even call it something other than a treaty because they didn't have the votes to pass fast-track if it was a treaty.
[02:57.200 --> 03:04.200]  They had 62 votes. If they came up and honestly said that this was a treaty, they would have needed 67 votes.
[03:04.200 --> 03:08.200]  That's why they called it an agreement. That's why they called it a partnership. And of course, NAFTA was passed that way.
[03:08.200 --> 03:19.200]  They called it the North American Free Trade Agreement. But now if you go back and look at what they're telling people when it comes up to investor state tribunals,
[03:19.200 --> 03:28.200]  the same thing that we now see being applied with these Trans-Pacific, Transatlantic partnerships, these tribunals, I guess we should call them IS, right?
[03:28.200 --> 03:37.200]  Investor state. It's another kind of IS, also created by the same people. But these tribunals, they say, really are treaty law claims.
[03:37.200 --> 03:47.200]  So the people who are representing the corporations, the multinational corporations in these arbitration agreements are quite clear about the fact that they are practicing treaty law.
