[00:00.000 --> 00:05.280]  The answer to 1984 is 1776.
[00:05.280 --> 00:08.480]  You're listening to the Alex Jones show.
[00:08.480 --> 00:34.480]  Man, I tell you, they say everything's bigger in Texas, but this is the coolest gun shop I've ever been here.
[00:34.480 --> 00:44.480]  I've been here quite a few times and they're shooting range, but I never spend any time here in their actual gallery where they're selling all these great firearms.
[00:44.480 --> 00:54.480]  You think about what goes on in third world countries where they keep the public poor on purpose, or you think about what happens in communist countries where people are disarmed.
[00:54.480 --> 01:02.480]  This really is what separates Americans from almost everybody else in the world, except maybe the Swiss, is that we can still get firearms.
[01:02.480 --> 01:17.480]  It's this revolution that really is maker to break it for America, and we're beginning to win because gun owners are taking people out in a safe way and taking folks that have been domesticated out shooting, and then once they start shooting, they get in power.
[01:17.480 --> 01:31.480]  I can't tell you how many times I went out with Mike Judge, who's a big Hollywood producer, and taken crew from different TV shows and movies he's producing, shooting a lot of the crew and the stars from shows like Silicon Valley.
[01:31.480 --> 01:40.480]  We took about 15 of them out shooting a few years ago, and within an hour they were all converted to, wow, I've never shot a gun before and I'm shooting bulls out of 100 yards with a.223.
[01:40.480 --> 01:45.480]  This was like liberal female stars, male stars, you name it.
[01:45.480 --> 01:51.480]  Within an hour we're already awake saying why shouldn't I be able to protect myself? Why shouldn't I be able to have this fun?
[01:51.480 --> 01:55.480]  I'm competent, I'm not a criminal, that's what we're talking about right here in America.
[01:55.480 --> 02:01.480]  Now I don't know if this is accurate, but I was watching Pond Stars and they claim there's only like 10 or 15 of these in the whole country, is that true?
[02:01.480 --> 02:09.480]  I believe so, and we are very lucky to actually have one, and wow, this is a great centerpiece, I mean it's a beautiful piece of machinery when you really look at it.
[02:09.480 --> 02:15.480]  I mean, you gotta really appreciate the construction of it and how it works, and you know, ingenuity of that time period, it's amazing.
[02:15.480 --> 02:17.480]  So this is the Gatling gun from Civil War?
[02:17.480 --> 02:22.480]  Yeah, pretty much. Now we've got the modern day version of this bad boy on the other side of our place.
[02:22.480 --> 02:26.480]  Oh, let's go look at that. Wow.
[02:26.480 --> 02:30.480]  Yeah, because on Pond Stars they were debating whether there's like 10 or 15.
[02:30.480 --> 02:34.480]  I think there's that like authentic one? Yeah. Now.
[02:34.480 --> 02:38.480]  So that's an authentic one? Yes. Amazing. This is a modern day version. Wow.
[02:38.480 --> 02:41.480]  Yes, take a look at that. This is what Jesse Ventura supposedly walks around with.
[02:41.480 --> 02:46.480]  No, I would say that's a pretty beefy gun. Yeah, get ready for real backache.
[02:46.480 --> 02:48.480]  So what is this bad boy?
[02:48.480 --> 02:52.480]  This is a 7.62 minigun. This is what you typically see in most of our special operations, birds.
[02:52.480 --> 02:56.480]  You've seen these mounted on most of our vehicles, they're outside of our birds now.
[02:56.480 --> 02:59.480]  Just lay down a tremendous amount of firepower.
[02:59.480 --> 03:04.480]  So one trigger is going to activate a cyclobrake of about 750 rounds per minute, which is pretty significant.
[03:04.480 --> 03:09.480]  You typically would use that to get on target, and then with the flip of the switch you go to 1,100 rounds per minute,
[03:09.480 --> 03:13.480]  which is just a huge amount of increased firepower at that point.
[03:13.480 --> 03:18.480]  You could use the lower rate just to target. Yeah, kind of. You know, when you're just kind of messing around,
[03:18.480 --> 03:22.480]  but then when it's all business and serious, oh yeah, you go right into that second trigger, it's nice.
[03:22.480 --> 03:27.480]  Beautiful. And I mean, it's a minigun. Shoot it this way while he talks over that way. It looks amazing.
[03:27.480 --> 03:31.480]  Yeah, that is a pretty intimidating look when you're looking at the business end of this thing.
[03:31.480 --> 03:35.480]  I would not ever want to be on the receiving end of this bad boy. It's just, it's a death zone.
[03:35.480 --> 03:39.480]  There's nothing you can really do. There's nothing you can hide behind. There's nothing you can hide from.
[03:39.480 --> 03:43.480]  You run this thing, and you're pretty much toast.
[03:43.480 --> 04:06.480]  Music plays
[04:06.480 --> 04:12.480]  When I was growing up as a child, I heard my grandfather and other World War II vets talk about
[04:12.480 --> 04:18.480]  we've got our Second Amendment, we've got our First Amendment, and we've got free market.
[04:18.480 --> 04:22.480]  And I thought, oh, quit harping all day about how great America is.
[04:22.480 --> 04:28.480]  And it wasn't until I got older that I realized how much attack it was under.
[04:28.480 --> 04:35.480]  So I love handguns. I love revolvers. I love semi-auto, full-auto. I've shot it all.
[04:35.480 --> 04:42.480]  But there's something, as an American rifleman, about a.308 Remington 700.
[04:42.480 --> 04:48.480]  Within just a few shots out at the range to be able to hit bullseye 400-plus yards.
[04:48.480 --> 04:54.480]  That, my friends, is magic. That, my friends, is the equalization of power against the globalists.
[04:54.480 --> 04:57.480]  That, my friends, is Americana.
[04:57.480 --> 05:05.480]  Music plays
[05:27.480 --> 05:53.480]  Music plays
[05:53.480 --> 06:01.480]  Music plays
[06:01.480 --> 06:09.480]  Music plays
[06:09.480 --> 06:19.480]  Music plays
[06:19.480 --> 06:27.480]  Music plays
[06:27.480 --> 06:45.480]  Music plays
[06:45.480 --> 06:53.480]  Music plays
[06:53.480 --> 07:03.480]  Music plays
[07:03.480 --> 07:31.480]  Music plays
[07:31.480 --> 07:59.480]  Music plays
[07:59.480 --> 08:15.480]  Music plays
[08:15.480 --> 08:25.480]  Music plays
[08:25.480 --> 08:49.480]  Music plays
[08:49.480 --> 09:17.480]  Music plays
[09:17.480 --> 09:45.480]  Music plays
[09:45.480 --> 10:11.480]  Music plays
[10:11.480 --> 10:39.480]  Music plays
[10:39.480 --> 11:05.480]  Music plays
[11:05.480 --> 11:33.480]  Music plays
[11:33.480 --> 11:53.480]  Music plays
[11:53.480 --> 12:21.480]  Music plays
[12:21.480 --> 12:49.480]  Music plays
[12:49.480 --> 13:17.480]  Music plays
[13:17.480 --> 13:45.480]  Music plays
[13:45.480 --> 14:13.480]  Music plays
[14:13.480 --> 14:41.480]  Music plays
[14:41.480 --> 15:09.480]  Music plays
[15:09.480 --> 15:37.480]  Music plays
[15:37.480 --> 15:57.480]  Music plays
[15:57.480 --> 16:05.480]  Music plays
[16:05.480 --> 16:27.480]  Music plays
[16:27.480 --> 16:55.480]  Music plays
[16:55.480 --> 17:23.480]  Music plays
[17:23.480 --> 17:39.480]  Music plays
[17:39.480 --> 17:51.480]  Music plays
[17:51.480 --> 18:19.480]  Music plays
[18:19.480 --> 18:47.480]  Music plays
[18:47.480 --> 19:15.480]  Music plays
[19:15.480 --> 19:43.480]  Music plays
[19:43.480 --> 20:07.480]  Music plays
[20:07.480 --> 20:27.480]  Music plays
[20:37.480 --> 21:05.480]  Music plays
[21:05.480 --> 21:33.480]  Music plays
[21:33.480 --> 22:01.480]  Music plays
[22:01.480 --> 22:29.480]  Music plays
[22:29.480 --> 22:57.480]  Music plays
[22:57.480 --> 23:25.480]  Music plays
[23:25.480 --> 23:53.480]  Music plays
[23:53.480 --> 24:21.480]  Music plays
[24:21.480 --> 24:41.480]  Music plays
[24:41.480 --> 24:49.480]  Music plays
[24:49.480 --> 25:17.480]  Music plays
[25:17.480 --> 25:45.480]  Music plays
[25:45.480 --> 26:13.480]  Music plays
[26:13.480 --> 26:41.480]  Music plays
[26:41.480 --> 27:09.480]  Music plays
[27:09.480 --> 27:37.480]  Music plays
[27:37.480 --> 28:05.480]  Music plays
[28:05.480 --> 28:33.480]  Music plays
[28:33.480 --> 29:01.480]  Music plays
[29:01.480 --> 29:27.480]  Music plays
[29:27.480 --> 29:55.480]  Music plays
[29:55.480 --> 30:23.480]  Music plays
[30:23.480 --> 30:51.480]  Music plays
[30:51.480 --> 31:19.480]  Music plays
[31:19.480 --> 31:47.480]  Music plays
[31:47.480 --> 32:15.480]  Music plays
[32:15.480 --> 32:43.480]  Music plays
[32:43.480 --> 33:11.480]  Music plays
[33:11.480 --> 33:33.480]  Music plays
[33:33.480 --> 34:01.480]  Music plays
[34:01.480 --> 34:29.480]  Music plays
[34:29.480 --> 34:57.480]  Music plays
[34:57.480 --> 35:25.480]  Music plays
