[00:00.000 --> 00:10.000]  So
[02:00.000 --> 02:23.800]  I'm Alex Jones, radio and television host here in Austin, Texas.
[02:23.800 --> 02:27.240]  In the next hour and a half you're going to see a picture of treason, a picture of the
[02:27.240 --> 02:33.200]  loss of sovereignty of our nation, the United States of America, not by accident, but by
[02:33.200 --> 02:35.000]  design.
[02:35.000 --> 02:38.440]  And it's incredible those that have gone before me.
[02:38.440 --> 02:44.480]  The New American Magazine, books like None Dare Call a Conspiracy, 1972 by Gary Allen.
[02:44.480 --> 02:46.920]  They documented everything that is happening.
[02:46.920 --> 02:51.720]  They didn't have crystal balls, they read what the enemy itself was saying.
[02:51.720 --> 02:56.920]  The United Nations Framework Convention on Climate Change has nothing to do with climate
[02:56.920 --> 03:01.080]  change and everything to do with taking over our national parks as collateral on the national
[03:01.080 --> 03:06.600]  debt, which is owned over half by foreign European banks.
[03:06.600 --> 03:09.240]  Most of your politicians are bought and paid for.
[03:09.240 --> 03:14.440]  Most Americans have been mined numbed by the modern Bureau of Propaganda, known as the
[03:14.440 --> 03:16.280]  mainstream media.
[03:16.280 --> 03:22.480]  We're going to go through 12 states over three weeks and have interviews with city managers,
[03:22.480 --> 03:28.280]  Navy officers, people on the street and show you the UN signs carefully hidden behind the
[03:28.280 --> 03:33.640]  national parks, the certificate of ownership tacked on the door of our nation.
[03:33.640 --> 03:40.760]  We're also going to show you film evidence and documents of the Communist Chinese moving
[03:40.760 --> 03:46.960]  into the Long Beach Naval Base, yes, Costco, the military moving in and President Clinton
[03:46.960 --> 03:49.040]  being on the payroll.
[03:49.040 --> 03:52.680]  We're also going to tell you about the Panama Canal being handed over to the Chinese and
[03:52.680 --> 03:58.840]  how this was a long-term plan of David Rockefeller because that is a vassal state which he controls.
[03:58.840 --> 04:00.400]  This is very serious.
[04:00.400 --> 04:01.640]  This is not a joke.
[04:01.640 --> 04:07.120]  Then we'll also visit Oklahoma City and talk about what really happened there, how the
[04:07.120 --> 04:12.680]  government was involved using military black ops squads to destroy that building, like
[04:12.680 --> 04:18.480]  Hitler burnt the Reichstag in 1933, to scare the American public in the submitting.
[04:18.480 --> 04:24.160]  We will give back to Austin, Texas and show you over 200 youth being indoctrinated at
[04:24.160 --> 04:29.160]  a Model United Nations meeting at the University of Texas, elementary, junior high and high
[04:29.160 --> 04:32.040]  school students being taught about global government.
[04:32.040 --> 04:36.720]  Make no mistake, our culture is under attack and if we don't turn away for just five minutes
[04:36.720 --> 04:43.760]  from the football games, from the bread and circus, we are doomed to 100% tax rate.
[04:43.760 --> 04:47.520]  Socialism is a movement of the economic elite, not of the downtrodden masses.
[04:47.520 --> 04:52.200]  It is a way to consolidate wealth criminally and remember, wealth is never destroyed, it
[04:52.200 --> 04:54.200]  is merely transferred.
[04:54.200 --> 04:56.280]  So again, thank you for joining us.
[04:56.280 --> 05:03.000]  We did the best we could to bring you just a small piece of the picture of America under
[05:03.000 --> 05:05.960]  siege.
[05:05.960 --> 05:10.820]  Our story starts in Southern Arizona where the UN is taking over.
[05:10.820 --> 05:16.480]  Just look at the size of this beautiful organ pipe cactus and the biggest concentration
[05:16.480 --> 05:27.440]  of these in the world is now part of this 500,000 acre UN UNESCO environmentalist biosphere.
[05:27.440 --> 05:31.720]  Has nothing to do with the environment, it has to do with control of resources.
[05:31.720 --> 05:32.720]  Gorgeous.
[05:32.720 --> 05:33.720]  Just look at it.
[05:33.720 --> 05:40.280]  Look at the size of that thing, it's got to be, what, 40 feet tall?
[05:40.280 --> 05:43.800]  You're looking at the certificate of ownership of our national parks.
[05:43.800 --> 05:49.680]  They started the precedent way back in 1968 and by 1976 the organ pipe cactus national
[05:49.680 --> 05:56.440]  monument was beginning to come under international control under the guise of environmentalism.
[05:56.440 --> 05:59.320]  But in 1996 you'll find teeth were added.
[05:59.320 --> 06:04.360]  Now we're fixing to go inside the main visitor center and talk to the head ranger and find
[06:04.360 --> 06:09.320]  out if he's aware of this massive loss of US sovereignty.
[06:09.320 --> 06:14.600]  Now you've seen this photograph right here and I called Bruce Abbott's office and talked
[06:14.600 --> 06:21.560]  to some of their people and they told me that that was true at Mammoth Cave, United Nations,
[06:21.560 --> 06:25.680]  a World Heritage Site, an international biosphere reserve and they said yes and we took it down
[06:25.680 --> 06:29.320]  because people didn't like it.
[06:29.320 --> 06:31.680]  See y'all don't have that and y'all never did.
[06:31.680 --> 06:34.640]  And that's the funny part, they only did it in certain parts of the country and now they've
[06:34.640 --> 06:38.040]  taken the signs down but you do have this plaque, don't you, you said you have a brass
[06:38.040 --> 06:41.720]  plaque, just like that one?
[06:41.720 --> 06:49.520]  Well, parks have to respond to the local community and I suppose people in the local community
[06:49.520 --> 06:59.480]  objected to those signs and they complied with them by taking down the sign.
[06:59.480 --> 07:01.640]  But they did not take down the international order.
[07:01.640 --> 07:05.440]  It's not a requirement that they have the sign in the first place, so in order to be
[07:05.440 --> 07:10.840]  accommodating they went along with the local community.
[07:10.840 --> 07:13.160]  We don't have a sign so it must not be required.
[07:13.160 --> 07:14.160]  Gotcha.
[07:14.160 --> 07:15.160]  Well thanks a lot sir.
[07:15.160 --> 07:16.160]  Appreciate that.
[07:16.160 --> 07:17.160]  Ranger David.
[07:17.160 --> 07:18.160]  Do it.
[07:18.160 --> 07:19.160]  David DeWitt.
[07:19.160 --> 07:20.160]  Thank you sir.
[07:20.160 --> 07:24.880]  Here we are at the Oregon Pipe Characters National Monument at the Park Rangers office
[07:24.880 --> 07:34.560]  and he told us that he didn't see a problem with international designation but he did
[07:34.560 --> 07:41.120]  have to admit why are they taking down the UN signs but leaving the executive order there.
[07:41.120 --> 07:44.560]  See they're taking away the contracts from in front of your face so you don't see what's
[07:44.560 --> 07:49.240]  happening but then they're just continuing with their plans right here.
[07:49.240 --> 07:56.560]  United Nations Educational Scientific and Cultural Organization program on man and biosphere.
[07:56.560 --> 08:01.720]  On our trip from central Texas to southern Arizona we passed no fewer than seven biospheres
[08:01.720 --> 08:04.720]  but we only stopped by the Oregon Pipe Cactus Biosphere.
[08:04.720 --> 08:09.040]  Now we're on our way to Southern California to expose what's going on at the Long Beach
[08:09.040 --> 08:19.720]  Naval Weapons Shipyard.
[08:19.720 --> 08:24.840]  We're here in Southern California at the Long Beach Naval Weapons Shipyard, one of the only
[08:24.840 --> 08:28.840]  deep water ports in America that our military controls.
[08:28.840 --> 08:35.560]  The only one of three and it's the only one on the western side of the United States controlling
[08:35.560 --> 08:36.880]  the Pacific.
[08:36.880 --> 08:42.680]  The Clinton administration decided to shut it down in 1993 and now he's letting his
[08:42.680 --> 08:48.080]  good buddies, the military industrial complex of China under Costco, the military industrial
[08:48.080 --> 08:53.520]  shipping firm that is responsible for bringing slave goods and some evident shows, mafia
[08:53.520 --> 08:55.760]  influences into our country.
[08:55.760 --> 09:03.240]  This is a major national security breach, we must do something and do something now.
