[00:00.000 --> 00:20.000]  Music
[00:20.000 --> 00:25.500]  And rest in peace, and rest in peace,
[00:25.500 --> 00:31.000]  with the dentist in peace.
[00:31.000 --> 00:36.000]  Look, oh, do not, and do not,
[00:36.000 --> 00:42.000]  look, oh, and do not sin.
[00:42.000 --> 00:47.000]  And the dentist, the dentist,
[00:47.000 --> 00:52.500]  the medicine who canheat,
[00:52.500 --> 00:57.500]  and the God who can prove
[00:57.500 --> 01:01.700]  that the Captain has done
[01:01.700 --> 01:06.000]  a grand miracle.
[01:06.000 --> 01:08.000]  The Pope, the apostle,
[01:08.000 --> 01:14.000]  has done a grand miracle
[01:14.000 --> 01:24.800]  Oh, oh, grata, let the latter be king concreta in teres.
[01:24.800 --> 01:35.300]  Nun, em, nun, dun, dorsum, nun, dun, ferroto in seleris.
[01:35.300 --> 01:56.100]  Nun, nun, dun, dorsum, nun, dorsum, nun, dorsum, nun, dun, ferroto in seleris.
[01:56.100 --> 02:22.160]  Nun, nun, dorsum, nun, dorsum, nun,
[02:32.960 --> 02:36.160]  We interrupt this broadcast to bring you this important bulletin from the United Press.
[02:36.160 --> 02:37.160]  Flats, Washington.
[02:37.160 --> 02:40.160]  We interrupt our program to bring you a special broadcast.
[02:40.160 --> 02:41.160]  The German news agency.
[02:41.160 --> 02:44.160]  We interrupt this program to bring you a news bulletin from Washington.
[02:44.160 --> 02:46.160]  Special report, verdict sparks violence.
[02:46.160 --> 02:52.160]  National Guard troops are standing by ready to patrol the streets of Los Angeles rocked by widespread violence.
[02:52.160 --> 02:54.160]  My name's Alex Jones.
[02:54.160 --> 02:56.160]  I'm a radio and television host in Austin, Texas.
[02:56.160 --> 03:03.160]  And for many years I've been exposing the criminal activities of the global elite, otherwise known as the New World Order.
[03:03.160 --> 03:10.160]  These folks don't make their money out of the production of goods and services or via creativity.
[03:10.160 --> 03:16.160]  They make their money and their stock and trade is slavery, control of populations.
[03:16.160 --> 03:26.160]  In the next two hours you will see hardcore documentation, evidence that is irrefutable that America is turning into a nightmarish police state,
[03:26.160 --> 03:36.160]  cameras on the street corners, mass checkpoints on our major interstate highways, warrantless searches.
[03:36.160 --> 03:47.160]  But worst of all, you'll see America's military being perverted, being turned into an instrument of control, not an instrument of defense.
[03:47.160 --> 03:50.160]  I have footage and you're going to see it.
[03:50.160 --> 04:04.160]  Marines engaging in mock gun confiscations, kicking in doors, setting up concentration camps and working with foreign troops from China, Russia, Britain, Australia.
[04:04.160 --> 04:08.160]  It's incredible, my friends, and you've got to face up to it.
[04:08.160 --> 04:11.160]  I've got to face up to it and we've got to take action.
[04:11.160 --> 04:22.160]  But perhaps worst of all is the Delta Force, Army Special Operations from Fort Bragg, North Carolina, slamming into South Texas towns during Operation Last Dance.
[04:22.160 --> 04:27.160]  Buildings ablaze, power lines down, live fire exercises.
[04:27.160 --> 04:30.160]  The citizenry terrorized.
[04:30.160 --> 04:32.160]  Again, this isn't some foreign country.
[04:32.160 --> 04:38.160]  This is America, psychological warfare against the population.
[04:38.160 --> 04:47.160]  Why are armored personnel carriers being delivered every week to small towns and big cities, not for the military, but for police?
[04:47.160 --> 04:51.160]  Why is the military training with our police?
[04:51.160 --> 04:53.160]  And what's happening?
[04:53.160 --> 04:58.160]  My friends, this is the battle for the republic.
[04:58.160 --> 05:01.160]  The enemy is not our police and it's not our military.
[05:01.160 --> 05:12.160]  It is those that would pervert and twist the sacred oath that our peace officers and military folks have sworn to uphold.
[05:12.160 --> 05:18.160]  That is to defend our country from enemies foreign and domestic.
[05:18.160 --> 05:26.160]  It's up to you, this whole criminal system, this whole undertaking that we see unfolding before our eyes is done through ignorance.
[05:26.160 --> 05:35.160]  It's up to you to educate the cop that lives next door to you or to talk to your friend who's a captain or a colonel or a general or a private in the United States military.
[05:35.160 --> 05:41.160]  It's up to you to educate them about what's happening and refresh their memory about history.
